	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
decreased body length	growth/size/body region phenotype	1700008P02Rik,1700037C18Rik,2900026A02Rik,4833420G17Rik,4921509C19Rik,A930004D18Rik,Abhd8,Acad11,Acsl4,Actg2,Actr8,Acy3,Adck2,Adgrg5,Adnp2,Ajap1,Akip1,Aldob,Alg8,Alpk2,Ankrd11,Arf2,Arhgap10,Arih1,Arl4d,Arpc1a,Asic3,Asic4,Auts2,Baz2b,Bbx,Bcap29,Bcl7c,Bgn,Bptf,Bscl2,Btbd9,Cadm1,Camsap3,Cbarp,Cd248,Cd300c,Cd5,Cd84,Cdh12,Cdk19,Cdk4,Cenpj,Cep19,Cerox1,Cers5,Cfd,Cfdp1,Chd2,Chd7,Cherp,Chsy3,Cidea,Clpp,Clptm1l,Clvs1,Cmtm5,Cnih2,Cnot4,Col24a1,Col6a3,Col9a3,Colec10,Cpgi11865,Csnk1g3,Cstb,Cyb5d1,Cyp27b1,Daam2,Dagla,Dcn,Ddc,Deup1,Dgat2l6,Dlgap1,Dnajb14,Dnal4,Dnase1l2,Dntt,Dpp8,Duoxa2,Dusp16,Dusp8,Dym,Efhb,Egr1,Eif4g2,Elmod3,Elp6,Epb41l4b,Epha3,Evc2,Fam160b1,Fam163a,Fbn2,Fbxo38,Fdxacb1,Fjx1,Fndc3a,Fnta,Fosb,Foxk2,Frmd5,Fsbp,G2e3,G3bp1,Gabpa,Galntl6,Garre1,Gas7,Gba2,Gh,Ghrh,Ghrhr,Gins3,Gm6578,Gmds,Gnl1,Gpd1l,Greb1,Grik5,Gsk3a,Gspt2,H2-Eb2,H2bc4,Hapln1,Hdac8,Hdgfl3,Heca,Hectd3,Hjv,Homer2,Hook3,Hps5,Hs3st3a1,Hsd17b1,Il17rc,Il2ra,Inpp1,Iqsec3,Kbtbd8,Kdm3b,Kdm5b,Kera,Kif13a,Kif18b,Klb,Klhl12,Klhl26,Klhl29,Klk14,Kmt2d,Lgmn,Lmcd1,Lmod3,Lrrc56,Lta,Lyar,Lysmd1,Macrod2,Magea9,Magt1,Map4k5,Mau2,Mbd6,Mettl5,Mfap4,Minar2,Mir96,Mmd,Mmp2,Mocs2,Mos,Mpp6,Mreg,Mrm3,Mrps22,Msto1,Myc,Myh1,Mynn,Myo6,Mysm1,Nacad,Nat1,Ncald,Ncbp1,Nek1,Nfatc4,Nfxl1,Nfya,Nim1k,Nmrk2,Noxred1,Nr6a1,Nsun5,Nup205,P3h1,Pabpc4,Pacsin2,Pcdhb13,Pcm1,Pcnx4,Pcsk1,Pcyox1l,Pdcd6ip,Pde5a,Pdxdc1,Pebp4,Peli1,Phex,Phf20l1,Phip,Phkg1,Phldb1,Phrf1,Pias2,Pigz,Pitx3,Pkp4,Plet1,Plin4,Pop7,Ppp1r9b,Ppp2r2a,Ppp5c,Prpf6,Ptp4a2,Rab24,Rab3ip,Rab43,Rap2b,Rasal1,Rbmx,Rer1,Rhobtb3,Rilpl2,Rnf10,Rnft2,Rp9,Rrad,Rsu1,Rusc1,Saa3,Saxo1,Scn3b,Septin5,Sertad3,Setd3,Sgta,Shfl,Shisa6,Slc20a2,Slc25a42,Slc25a44,Slc29a1,Slc38a10,Slc7a3,Smoc2,Snph,Spag17,Sparc,Spin2c,Ssbp2,Strbp,Syn3,Szrd1,Tada1,Tcf20,Terf2ip,Tex2,Tgfbr3l,Tlr12,Tmem104,Tmem106b,Tmem138,Tmem174,Tmem184b,Tmem248,Tmem8b,Tmod2,Tpk1,Tppp,Tpte,Trappc11,Trappc2,Trappc2l,Trim56,Trnp1,Trp53inp2,Trub2,Try10,Ttc28,Tusc1,Tut4,Ube2a,Ube2j2,Ube3c,Ubxn1,Uhrf2,Unc80,Unk,Upb1,Usp1,Usp19,Usp42,Usp53,Vezt,Vps13b,Wdr11,Wdr45,Wee2,Wnt11,Zbtb4,Zfp383,Zfp593,Zfp786,Zfp91,Zfyve1,Zmym4,Zyg11b,Zzef1	327	135	191	61
decreased body temperature	homeostasis/metabolism phenotype	1700016H13Rik,Dact2,Myo6,Pde6b,Serpinf1	5	0	1	4
decreased body weight	growth/size/body region phenotype	Abcd3,Abhd5,Aco2,Acsl4,Afg1l,Ago1,Agtr1a,Akap9,Akt2,Amelx,Anp32e,Anxa13,Aqp1,Arl4d,Arpc2,Atp5a1,Atp6v1g2,Atp8b1,Atpif1,Baz1b,Bbx,Bmp6,Brd7,Btbd3,Cadps2,Camk1d,Ccdc57,Ccnd2,Cdk5rap2,Cds2,Cenpj,Chd7,Clcnkb,Cog2,Crlf3,Crot,Csmd3,Dbn1,Dlg2,Dlg4,Dll1,Dnase1l2,Dusp1,Dyrk1b,E2f3,Eif4e3,Elk4,Epc1,Epc2,Eps8,Erap1,Esco1,Fam219a,Fbn2,Fgf14,Frmpd2,Ftl1,Fundc1,Gabra2,Gapvd1,Gbe1,Gipr,Glt8d2,Golt1b,Gpr83,Gria1,Gsg1l,Gsk3a,Gys2,Herc3,Hmx3,Hnf4a,Ide,Ik,Insig1,Ipo7,Irx3,Kat14,Kazn,Kctd10,Kiss1r,Kmt5b,Krt32,Ldha,Limd1,Lmnb1,Lpp,Lrig1,Lrrc30,Ltbp1,Ltn1,Map2k2,Marchf5,Marchf6,Matn1,Mex3b,Mier1,Miga2,Mir96,Mlx,Mta1,Myl12b,Myo6,Myo7a,Myoz1,Mysm1,Naa10,Naa38,Nadsyn1,Ncam1,Neurl4,Nlgn3,Nsun5,Nucb1,Nwd2,P2rx7,Park7,Pdcd6ip,Pde1a,Pde6b,Pex3,Pfn1,Phex,Pik3r2,Pitx3,Pla2g2f,Plekhm2,Ppp4r3b,Prdm8,Prg4,Prkab1,Ptprm,Pxylp1,Qsox1,Rad18,Rasgrp3,Retreg3,Rhobtb3,Rhot2,Rlim,Rnf168,Sec23a,Sec24a,Secisbp2l,Shank1,Shank2,Sla2,Slc12a1,Slc23a4,Slc24a3,Slc25a21,Slc38a10,Smc3,Sms,Snap23,Snx5,Sparc,Spred1,Spryd3,Sptbn1,St18,Supt7l,Susd6,Tent5a,Tmem116,Tmem72,Tmem9,Tmprss15,Tnr,Tpm1,Trafd1,Trf,Trim39,Trmt10a,Tspoap1,Ube3b,Ufl1,Uhrf1,Usp31,Usp33,Usp42,Wbp2,Wdr47,Ybx3,Zfp106,Zfp644,Zfp711,Zfp760,Zmynd8,Zranb2	190	245	153	81
decreased bone mineral content	skeleton phenotype	2610318N02Rik,6430548M08Rik,AU040320,Abcd3,Acer1,Acsf2,Actg2,Adal,Adam32,Adcy3,Adgrd1,Adgrf5,Adnp2,Agap1,Agl,Agpat4,Ajap1,Aktip,Aldh3b1,Aldob,Alg13,Alg8,Alpk2,Ankrd52,Ano8,Ap1g1,Ap4e1,Aptx,Arf2,Arhgap17,Arhgap42,Arl10,Arl2bp,Arpc1a,Arpc1b,Arpin,Atg4a,Atg4b,Atp11a,Atp8b1,Atxn10,Auts2,B3galnt2,Bach2,Banp,Baz2b,Bbs5,Bcap29,Bivm,Boc,Brd9,Bscl2,Btbd2,C8b,Cacnb3,Cadm1,Camsap3,Catsperz,Cav3,Cbarp,Ccl3,Ccr9,Cep19,Cers5,Cfap61,Cgrrf1,Chd2,Cidea,Cldn16,Clpp,Clptm1l,Clrn2,Clvs1,Cmpk2,Cnot4,Cog3,Cog6,Colca2,Coq2,Coq8b,Cpgi11865,Cpsf7,Crabp2,Crcp,Csmd1,Csnk1g1,Csnk1g3,Cxcl1,Cxcr1,Cxxc4,Cyb561,Cyp17a1,Cyp27b1,Cyp2b13,D6Wsu163e,Dagla,Ddx59,Def6,Dennd1c,Dgki,Dlk1,Dmd,Dmxl2,Dnase1l2,Dnd1,Dop1a,Dpf3,Dpp8,Duoxa2,Dusp3,Dym,Edem3,Eif4g2,Elmod2,Enkur,Entpd6,Eomes,Erap1,Erlin1,Erlin2,Esr2,Esrp1,F2,F7,Fadd,Fam160a1,Fam163a,Fancl,Farsa,Fbf1,Fes,Fgfr4,Flnb,Fndc3a,Foxk2,Fshr,G2e3,Gabra2,Gabrg3,Gas7,Gbp2,Ghrh,Ghrhr,Glo1,Gmds,Gnao1,Gnb5,Gngt2,Golm2,Golph3,Gpr15,Gpr152,Gpr61,Gpx6,Gria1,Grm3,Grm7,Gsg1l,Gspt2,Gsto1,Gtf2a1,Hbs1l,Hdac8,Hdgfl3,Heca,Hectd2,Hectd3,Herc1,Hook3,Hsf2,Hsf5,Hspb9,Ifih1,Ighmbp2,Ikzf5,Il2ra,Il3,Il31ra,Inava,Iqgap1,Iqsec3,Irak1,Irx3,Itch,Jade2,Kash5,Kcnc3,Kcne1,Kctd1,Kdelr2,Kdm3a,Kera,Kiss1r,Klhl22,Kptn,Krt32,Krt77,Krt88,Kti12,Lats1,Lbp,Lce1f,Ldlrad4,Lepr,Lmod3,Lpgat1,Mamld1,Map3k10,Map7d1,Mavs,Mbd1,Mccc2,Med10,Med23,Mgrn1,Mical3,Minar2,Mir129-2,Mmp2,Mpp6,Mrap2,Mrm3,Mrpl23,Mrps22,Msl1,Mvd,Myc,Myh1,Mynn,Myo1d,Myo6,Nacc1,Nbeal2,Ncald,Ncbp1,Nek1,Nexmif,Nfatc4,Nhlh2,Nisch,Nnat,Nop10,Nos1ap,Npepps,Npy5r,Nr2f6,Osbpl8,P2rx4,P3h1,Pak1,Pank3,Park7,Pcnx2,Pcyox1l,Penk,Pepd,Phldb1,Pias2,Pigf,Pigz,Pitx3,Pkp4,Plac9a,Plk5,Polr3f,Ppm1j,Ppp2r2a,Ppp2r2d,Prdm14,Prepl,Primpol,Prmt7,Prpf31,Prpf6,Prss2,Ptgr1,Pth1r,Ptpdc1,Pxylp1,Pycr2,Qrsl1,Rab24,Rab3ip,Rabl2,Rbpj,Rbpms2,Rer1,Retreg3,Rln3,Rnf24,Robo1,Rrad,Rrbp1,Rskr,Rspo4,Rttn,Rusc1,Rwdd1,Rwdd2a,Samd3,Scaf11,Scn3b,Scrib,Sdc3,Sel1l3,Serinc3,Serpinb2,Sfswap,Sgta,Sh3d19,Sh3gl2,Shh,Shtn1,Slc20a2,Slc25a21,Slc38a10,Slc40a1,Slc4a10,Slc6a6,Slc6a7,Slc9a4,Smoc2,Sncb,Spata22,Spata31d1d,Spidr,Spns2,Sra1,Ssbp2,Sst,Stag3,Stau2,Syce2,Syn3,Tatdn3,Tbc1d16,Tbc1d4,Tcf20,Terf2ip,Tex38,Tfeb,Tgfb1i1,Thsd7a,Timm50,Tmem127,Tmem132a,Tmem138,Tmem189,Tmem42,Tmod2,Tnik,Tox,Tpgs2,Tppp,Tram2,Trappc10,Trappc2l,Trappc9,Trf,Trim37,Trip13,Tsga13,Tspan13,Txnip,Ube2j1,Ube2j2,Ube2u,Ube3a,Ube3c,Ube4a,Ublcp1,Ufm1,Uroc1,Usp19,Usp53,Vezt,Vps13a,Wdr45,Wee2,Wnt10b,Xkr4,Ydjc,Ypel4,Ythdc2,Zc3h12c,Zc3h14,Zdhhc20,Zfp174,Zfp189,Zfp202,Zfp407,Zfp593,Zfp612,Zfp692,Zfp92,Zfyve1,Zmym4	397	256	301	95
decreased bone mineral density	skeleton phenotype	1700008P02Rik,2210408I21Rik,2610318N02Rik,AU040320,Abcb11,Abcd3,Acer1,Acp2,Acsbg2,Acsf2,Actr8,Adal,Adam32,Adgrd1,Adgrf5,Adnp2,Agl,Aicda,Akap7,Aktip,Aldh1l1,Aldh2,Aldh3b1,Aldob,Alg13,Alg8,Alpk2,Angptl4,Ankrd11,Ankrd52,Aptx,Aqp1,Arf2,Arhgef4,Arpin,Arrb1,Aste1,Atg4b,Atp8a1,Atp8b1,Atxn10,BC055324,Bach2,Baz2b,Bbs2,Bbs5,Bcap29,Brpf1,Btbd2,Cacna1i,Cacng6,Camk1d,Camsap3,Cbr3,Ccdc127,Ccdc85a,Cdan1,Cdc37l1,Cep120,Cep19,Cers5,Cgrrf1,Chd2,Cldn16,Clpp,Clrn2,Clvs1,Cnot4,Cog4,Col16a1,Col24a1,Colca2,Cops4,Cpeb4,Cpgi11865,Crispld2,Csmd1,Csnk1g1,Csnk1g3,Cxcl1,Cxcr2,Cyp17a1,Cyp27b1,D6Wsu163e,Dbpht2,Ddost,Def6,Dgkd,Dhx40,Dnase1l2,Dnase2b,Dnd1,Dock2,Dpf1,Dpp8,Dsp,Duoxa2,Edem3,Eif4g2,Elmod2,Entpd6,Esr2,Esrp1,Fadd,Fam160a1,Fam163a,Fancl,Farsa,Fdxacb1,Flnb,Foxj3,Foxk2,Foxo3,Frmd7,Fundc1,G2e3,Gabra2,Gabrg3,Gars,Gas7,Ghrh,Ghrhr,Gna11,Gnb5,Golph3,Gpatch1,Gpd1l,Gpr152,Gpr182,Gpr39,Gpr61,Gsg1l,Gtf2a1,Hbs1l,Hdac8,Heca,Hectd3,Herc1,Hook3,Hsd17b1,Hsf5,Iho1,Ikbkb,Il2ra,Iqgap1,Iqsec3,Itch,Jade2,Kash5,Kcnc3,Kcne1,Kcnj16,Kctd1,Kctd9,Kera,Kiss1r,Kmt2a,Kptn,Krt26,Krt77,Krtap17-1,Kti12,Lactb,Lats1,Ldlrad4,Lepr,Limd1,Lmod3,Lpgat1,Map7d1,Mavs,Mbd1,Mccc2,Mcmbp,Minar2,Mir320,Mir96,Mllt6,Mogs,Mrpl23,Mrps22,Msl1,Mta1,Myc,Myh1,Myo1d,Myo6,Nbeal2,Nbr1,Ncald,Ncf1,Ndrg1,Ndufa10,Nelfe,Nhlh2,Nod2,Npy2r,Npy5r,Nucb1,Ogfod3,Otogl,P3h1,Park7,Pcdh1,Pcnx2,Pdx1,Pebp1,Pepd,Pfkfb3,Phldb1,Pkp4,Pla2g2a,Plcg2,Plod1,Pls3,Polr3f,Ppp2r2a,Ppp4r3b,Prdm14,Prepl,Prmt7,Prpf31,Prpf6,Prss2,Pstpip2,Pxylp1,Pycr2,Rab20,Rab24,Rab3ip,Rab43,Rad21l,Rai14,Rbpms2,Rbsn,Rhbdf2,Ric8b,Rnf169,Rnf24,Rrad,Rrbp1,Rskr,Rtn1,Sdc3,Sdsl,Sema5b,Serf1,Serinc3,Serpinb2,Sgta,Sh3d19,Sh3gl2,Slc20a2,Slc22a8,Slc25a21,Slc29a1,Slc40a1,Slc5a5,Slc9a4,Smim1,Smoc2,Sms,Sparc,Spata22,Spidr,Spns1,Stag3,Stard8,Stat1,Stau2,Syce2,Syn3,Tatdn3,Tbc1d16,Tbc1d4,Tcf20,Tead3,Tenm4,Terf2ip,Tex38,Tfap4,Tfeb,Tmem11,Tmem189,Tmod2,Tmprss11c,Tnik,Tnks,Tox,Tram2,Trappc11,Trim37,Trip13,Ttc28,Tut4,Txnip,Ube2d3,Ube2j1,Ube2j2,Ube3c,Ufm1,Uhrf2,Uros,Usp45,Usp53,Vezt,Wee2,Wnt10b,Ydjc,Ythdc2,Zbtb45,Zc3h12c,Zfp160,Zfp202,Zfp219,Zfp260,Zfp407,Zfp593,Zfp612,Zfp689,Zmym4	321	154	172	47
decreased bone trabecula number	skeleton phenotype	Tead3	1	0	0	1
decreased brain size	nervous system phenotype	Arhgef2,Ccdc124,Cd36,Dagla,Dusp8,Gpc1,Grik5,Hectd3,Id3,Lhcgr,Mapk6,Nav1,Pdcd6ip,Sbf1,Serping1,Taar3,Tnfrsf11b	17	32	25	0
decreased brain weight	nervous system phenotype	Ccdc92,Ckb,Cpt1c,Dusp8,Emx1,Gh,Gpc1,Herpud2,Negr1,Peli1,Rtn4r,Snph,Ssbp2,Tmem106b,Tmem184b	15	1	1	14
decreased bronchoconstrictive response	homeostasis/metabolism phenotype,respiratory system phenotype	Adam26a,Casp4,Cdh26,Gpsm1,Il13,Klk4,Mpig6b,Msantd1,Nmral1,Parp12,Plcb2,Pnck,Taar6,Thpo,Trappc2	15	13	7	11
decreased cardiac muscle contractility	muscle phenotype,cardiovascular system phenotype	Abhd3,Alpk3,Cav1,Dsg2,Efcab14,Eif3f,Fbxo10,Gsdmd,Hilpda,Ints6l,Klrb1,Nr1d1,Nxn,Pex1,Scarb1,Zfp280d	16	8	15	6
decreased cardiac output	cardiovascular system phenotype	Ap4e1,Cmpk2,Col11a2,Golt1b,Kcns2,Lrrfip1,Map3k12,Ndrg4,Nek1,Nr1d1,Pcdh20,Rps6kc1,Yae1d1	13	6	7	4
decreased cardiac stroke volume	cardiovascular system phenotype	A930017K11Rik,Ap4e1,Bbs5,Cdk5rap3,Dnase1l2,Fez2,Golt1b,Kcng2,Kcns2,Map3k12,Mcu,Nek1,Nr1d1,Sdc2,Vgll4,Yae1d1	16	11	4	3
decreased caudal vertebrae number	limbs/digits/tail phenotype,skeleton phenotype	Mta1,Mysm1	2	2	0	1
decreased circulating HDL cholesterol level	homeostasis/metabolism phenotype	4933434E20Rik,Abcb4,Acer1,Acsl5,Adgrf5,Ahrr,Akap9,Amfr,Angptl3,Apoc4,Arhgef4,Arvcf,Atad2b,Atp11a,Atp13a5,Atp6v0d1,BC048403,Bahd1,Baz1b,Bhlhe40,Bzw2,C2cd4b,Cbx6,Cd300lg,Cdk12,Cfap53,Chn1,Cpgi5563,Cyb561,Cyld,Cyp27a1,Cyp27b1,Dbn1,Dbnl,Dcaf11,Dhrs2,Dlg2,Dlg4,Dmxl2,Dscc1,Dusp26,Dusp7,Dym,Dync1i2,Elk4,Elmod1,Emcn,Enc1,Etv6,Fam117b,Far1,Far2,Fbf1,Frrs1l,Gatm,Gbp3,Gc,Gda,Gpr146,Gps1,H2ab3,Ik,Il2ra,Ilrun,Inava,Jmjd4,Kat2b,Kif21b,Krt7,Krtap17-1,Ldhb,Leprotl1,Mapk15,Myl3,Mysm1,Nab2,Natd1,Nav2,Nfil3,Nrxn1,Nt5c1b,Nucks1,Oas1g,Optn,Pabpc4,Pcsk5,Pcsk9,Pex3,Pigh,Ppp1r35,Ppp5c,Prag1,Prkab1,Prom2,Rab36,Rasal2,Rbpj,Rhbdl1,Rhd,Rnf10,Rundc1,Sag,Sar1b,Sec16b,Sec24a,Setbp1,Setd1a,Setd1b,Setd6,Sidt2,Sik3,Slc16a2,Slc29a3,Slc38a2,Slc5a7,Smoc1,Smpd4,Sst,Susd6,Sytl3,Tex261,Tial1,Tmc6,Tmem100,Tmem203,Tnip1,Tnks,Trim8,Trmt10a,Ttc28,Tuft1,Ube3b,Usp19,Vangl2,Vil1,Vps51,Wdtc1,Wrap53,Ywhab,Zdhhc3,Zfp84	141	113	31	17
decreased circulating LDL cholesterol level	homeostasis/metabolism phenotype	Abcb11,Akap9,Amfr,Anp32e,Anxa6,Ap4e1,Arhgap22,Arhgef4,Atp11a,Baz2b,Begain,Brd7,C2cd4b,Cdh23,Cpgi5563,Cracdl,Cyb561,Dcaf11,Dhrs7c,Dip2b,Dscc1,Dusp26,Eci3,Eml1,Esco1,Fam234b,Frrs1,Fto,Gbp3,H2-M5,H2ab3,Hells,Ide,Ints9,Kifap3,Mansc4,Mms22l,Mta1,Myh7b,Mysm1,Natd1,Ncaph,Ndufs3,Oas1g,Pex3,Pnpt1,Polr1e,Prkab1,Rab5c,Rhd,Sar1b,Sec16b,Selenon,Selenow,Sesn3,Setd1a,Setd1b,Sidt2,Slc16a2,Slc29a3,Slc38a10,Snip1,Src,Srrm4,Syt1,Tex261,Tmc6,Trmt10a,Ttc39b,Ttll4,Ube3b,Usp3,Vil1,Vmp1,Wdr47,Wdtc1,Wrap53,Xbp1,Zfp664,Zfp84,Zfyve28,Zkscan14	82	60	14	14
decreased circulating alanine transaminase level	homeostasis/metabolism phenotype	1700025G04Rik,2210010C04Rik,9930012K11Rik,AW112010,Abhd16a,Adamts14,Amfr,Ap4e1,Asb16,Atg7,Atp5a1,Baiap2,Bbs2,Bicd1,Cadm1,Cadps2,Camk1,Cd28,Cd84,Cdkl2,Ch25h,Cilp,Clcnkb,Cyb561,Dnajc28,Dusp26,Erlec1,Fam83g,Fbxo7,Fbxw9,Fndc7,Fnta,Frmpd4,Fto,Ftsj1,Gbx1,Gclc,Gin1,Gp2,Gpank1,Gstcd,H2-M3,H2-M5,Hsd17b11,Ide,Jarid2,Kars,Kat2b,Kcne2,Kcnh8,Klhl1,Krtap8-1,Lcmt1,Lmod3,Ltn1,Macrod2,Mapk15,Mcm10,Mcts1,Mfsd2a,Mogs,Mx2,Naa10,Nav3,Ncaph,Nhlrc3,Nos1ap,Nox1,Nucb1,Pak5,Pdp1,Pex3,Pfdn6,Phactr1,Polg2,Prkd1,Prl7b1,Psd2,Ptchd3,Rab32,Rac2,Ranbp10,Rapgefl1,Retreg3,Rhbg,Rida,Rims3,Rnf183,Rpl12,Rtl3,Sar1b,Secisbp2l,Sesn3,Sgms1,Shank1,Shisa8,Slc25a14,Slc2a13,Slc35f1,Slc39a5,Slitrk2,Smarcd2,Srcap,Stk26,Stx7,Tgfbr2,Tm9sf3,Tmem255a,Upf3a,Vil1,Vwa5a,Wdr11,Wfdc1,Zfp111,Zkscan14	115	62	30	39
decreased circulating alkaline phosphatase level	homeostasis/metabolism phenotype	4930505A04Rik,Abcb6,Abhd17b,Acot5,Adipor1,Adss,Amfr,Ankhd1,Anp32e,Ap4e1,Arhgef4,Atp2a2,Atp5a1,Atpif1,B3galt2,Bbs2,Begain,C4b,Cfap36,Cidec,Cnot4,Cpvl,Csmd3,Csnk1g3,Cyp19a1,Dbnl,Esco1,Etv3,Fam160a2,Fam210b,Fgd4,Fkbp10,Galnt13,Gatm,Gbp4,Glra4,Glrb,Gnpda2,Gramd2,Gria1,H2-M5,H6pd,Iah1,Ide,Ighmbp2,Il2ra,Itch,Kctd15,Krt80,Leprot,Lhx1,Limd1,Lrig1,Lrrc2,Lrrk1,Maf,Mfsd2a,Mir129-2,Mtarc2,Mtmr2,Myo10,Npr2,Nr1d1,Nrxn1,Otop3,Pabpc5,Pdzd8,Phf14,Pkd1,Plcg2,Polg2,Prkcq,Prkra,Prkx,Rbfox3,Rft1,Rhbdf2,Rnf10,Sar1b,Scn4a,Sec13,Sec24a,Selenbp1,Shisa9,Six1,Slc38a10,Snx8,Spata25,Spred1,Spred2,Sqor,Sst,Stim1,Strap,Supt7l,Tceal9,Tcf7l2,Teddm1a,Tmem116,Tmem211,Tmem241,Twf1,Txnip,Ubc,Ubp1,Upk1b,Ushbp1,Usp24,Vpreb3,Vps13b,Vsir,Wbp1l,Xylb,Zfp174,Zfp558,Zkscan14	116	42	68	21
decreased circulating amylase level	homeostasis/metabolism phenotype	Abcb5,Acsl4,Aldh2,Ankrd11,Ap4e1,Asxl3,Brpf3,Bsph2,Cbr2,Cdca8,Chd9,Cisd2,Cnot9,Col4a3,Cpgi5563,Ctnnb1,Cyba,Cybc1,Duoxa2,Efna1,Elk4,Ell2,Elp1,Fam160a1,Fbn2,Fhl1,Gdap2,Gimap6,Gm28050,Gm648,Gna11,H6pd,Hbq1a,Hdac8,Irgm1,Itgb5,Izumo1r,Kdm5b,Mib2,Mindy1,Mybpc3,Myo6,Nfix,Nfkb1,Nr0b1,Nr0b2,Nsun2,Pde6b,Phex,Pitx3,Ppp3ca,Prkab1,Prrg2,Sdc3,Setd1b,Sfpq,Slc38a10,Sst,Strbp,Trpc3,Ttll4,Ush1c,Usp11,Usp54,Vat1l,Vwa8,Wac,Xbp1	68	56	11	12
decreased circulating aspartate transaminase level	homeostasis/metabolism phenotype	4921536K21Rik,5330434G04Rik,9930012K11Rik,AW112010,Acaa1a,Adh4,Amfr,Ap4e1,Cd28,Cdkl2,Chd7,Cilp,Crlf2,Ctdspl2,Ctso,Cyp2ab1,Dlg2,Dlgap4,Emg1,Fahd2a,Fbxl5,Fbxw9,Fdx2,Fto,Ftsj1,Galnt13,Gbx1,Gm17359,Got2,Gpc5,Gpr146,Gstcd,H2-M5,Ighmbp2,Kars,Kcnh8,Kif21b,Klf8,Lrrc20,Ly6g6f,Mmp15,Mmp9,Naa10,Ncaph,Negr1,Olfr376,Pa2g4,Pex3,Pfdn6,Phactr1,Poc5,Prkd1,Rab32,Ranbp10,Rbm20,Rnf10,Rxrg,Sar1b,Secisbp2l,Selenbp1,Slc2a13,Slc39a5,Slc7a2,Smarcd2,Srcap,Supt7l,Tbx10,Thra,Tmem114,Vps11,Xlr3a,Zbtb46,Zkscan14,Zranb2	74	27	32	25
decreased circulating bilirubin level	homeostasis/metabolism phenotype	A2m,Aak1,Acmsd,Adar,Agtr2,Alpk1,Ap4e1,App,Atg13,Bcas1,Blk,Cand1,Cap2,Ccl27a,Cdcp3,Cntn3,Col4a3,Cstdc2,Ctso,Dact2,Ddx51,Dhfr,Dnmbp,Dpf2,Eftud2,Eps15,Eps8l3,Erlec1,Fam219a,Fam221a,Fbxo11,Fmnl2,Gas6,Hmox2,Hnrnpr,Ing4,Itpr1,Kcne2,Kif21b,Knop1,Lyn,Miga2,Mpig6b,Myl12b,Ncf4,Olfr376,Patl1,Pax6,Pdcd6ip,Pde11a,Peli1,Ppp2r5e,Prpf18,Prss12,Prss53,Rab21,Rap1gap,Rasgrp3,Rhbdf2,Rnf128,Satb2,Tmem163,Trappc10,Txnip,Ugt2b1,Usp31,Xkrx,Zfp275	68	19	30	23
decreased circulating calcium level	homeostasis/metabolism phenotype	4931429L15Rik,Abhd16a,Abhd8,Acap1,Acbd5,Adipor1,Agpat1,Ap4e1,Arhgap24,Arl5c,Atp2b1,Bhlhe40,Bnip2,Brd2,Btn2a2,Cd200,Cdh23,Celf4,Cenpo,Chtop,Ckb,Cmtm5,Cox5b,Cpeb4,Cracdl,Ctso,Cyb561,Cyp27b1,Dll1,Eps8l2,Etv6,Fam160a1,Fbxo10,Fryl,Gclc,Gnb4,Gnl3,Gpcpd1,Grm8,Ik,Klf12,Krt7,Macrod1,Macrod2,Med11,Mmp15,Mysm1,Nme6,Panx1,Pcsk5,Pes1,Phex,Pitpnm1,Plaur,Polr2f,Ppp2r3a,Prss52,Pth,Pthlh,Ptprd,Rab19,Rab36,Rapgef4,Rpia,Rreb1,Sag,Sidt2,Sik3,Slc38a10,Stxbp4,Supt3,Tex261,Tgif2,Tial1,Tmem189,Tmem254b,Tnfrsf1a,Ubp1,Usp24,Vps13a,Wbp1l,Xpnpep1,Zfand6,Zfp558,Zfp595	85	42	34	20
decreased circulating chloride level	homeostasis/metabolism phenotype	Abcg3,Abhd8,Acsm2,Aldh16a1,Ap4e1,Apoc4,Aqp1,Atf2,Btbd8,Clec4a3,Cpa2,Cstdc2,Cul4a,Dpy19l3,Eif2b5,Eif4enif1,Eif4g2,Eml1,Fabp12,Farsa,Frmd7,G6pd2,Gar1,H6pd,Hsd17b1,Ints12,Kctd10,Kmt2d,Lepr,Lrba,Lrrc36,Map2k2,Mettl7b,Mtss2,Ncapd2,Nfasc,Nhlh1,Phip,Pop4,Ppp1r35,Prkab1,Ptges2,Rhbdf2,Rin3,Rnf144a,Rnf25,Serpinb9b,Sinhcaf,Slc12a1,Slc25a4,Snx15,Stk39,Vax1,Vmp1,Wfdc18,Zbtb24,Zfp644	57	21	23	15
